assessid,assessorid,stockid,stocklong,recorder,daterecorded,dateloaded,assessyear,assesssource,contacts,notes,pdffile,assess,refpoints,assessmethod,assesscomments,xlsfilename,mostrecent
WGBFAS-HERR30-1972-2011-NEUBAUER,WGBFAS,HERR30,Herring ICES 30,NEUBAUER,6/23/2011,12/12/2012,1972-2011,http://www.ices.dk/reports/ACOM/2011/WGBFAS/Sec%2006.4%20Herring%20in%20Subdivision%2030.pdf,NULL,NULL,,1,1,XSA,NULL,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-HERR30-2011-DH-edited.xls,999
WGBFAS-HERR31-1979-2010-NEUBAUER,WGBFAS,HERR31,Herring ICES 31,NEUBAUER,6/23/2011,12/12/2012,1979-2010,http://www.ices.dk/reports/ACOM/2011/WGBFAS/Sec%2006.4%20Herring%20in%20Subdivision%2030.pdf,NULL,NULL,,1,1,XSA,The assessment is considered experimental,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-HERR31-2011-DH-edited.xls,999
DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE,DFO-QUE,HERR4RFA,Herring NAFO 4R fall spawners,PREFONTAINE,6/5/2008,8/1/2012,1971-2003,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details,This assessment is for the fall spawing stock of herring. The data for maturity at age was taken from the purse-seine fishery landings from April-June (second quarter). The SPA bias was adjusted by a bootstrap analysis; the biomass and abundance numbers f,,1,1,SPA-ADAPT,no comments,../spreadsheets/PREFONTAINE-HERR4RFA-2004-editedRP-QAQC.xls,999
DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE,DFO-QUE,HERR4RSP,Herring NAFO 4R spring spawners,PREFONTAINE,5/30/2008,8/1/2012,1963-2004,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details,This assessment is for the spring spawing stock of herring as the data on the fall spawning herring is insufficient. The data for maturity at age was taken from the purse-seine fishery landings from April-June (second quarter). The SPA bias was adjusted b,,1,1,SPA-ADAPT,no comments,../spreadsheets/PREFONTAINE-HERR4RSP-2004-editedRP-QAQC.xls,999
DFO-SG-HERR4TFA-1974-2007-PREFONTAINE,DFO-SG,HERR4TFA,Herring NAFO 4T fall spawners,PREFONTAINE,6/5/2008,8/1/2012,1974-2007,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,"Claude Leblanc, claude.leblanc@dfo-mpo.gc.ca","The number of recruits for 2007 are geometric means of 1978-2006. Brec, Busr and Blrp are reference points taken from a 2005 report on spring and fall spawning herring called ""Spawning stock biomass reference points for spring and fall spawning herring in",,1,1,SPA-ADAPT,no comments,../spreadsheets/PREFONTAINE-HERR4TFA-2007-editedRP-QAQC.xls,999
DFO-SG-HERR4TSP-1974-2007-PREFONTAINE,DFO-SG,HERR4TSP,Herring NAFO 4T spring spawners,PREFONTAINE,6/5/2008,8/1/2012,1974-2007,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,"Claude Leblanc, claude.leblanc@dfo-mpo.gc.ca","The number of recruits for 2007 are geometric means of 1996-2006. F0.1, Brec, Busr and Blrp are reference points taken from a 2005 report on spring and fall spawning herring called ""Spawning stock biomass reference points for spring and fall spawning herr",,1,1,SPA-ADAPT,no comments,../spreadsheets/PREFONTAINE-HERR4TSP-2007-editedRP-QAQC.xls,999
DFO-HERR4VWX-1964-2006-PREFONTAINE,DFO,HERR4VWX,Herring Scotian Shelf and Bay of Fundy,PREFONTAINE,6/2/2008,8/1/2012,1964-2006,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details,"The 4VWX stock is divided into four components: Southwestern Nova Scotia and Bay of Fundy, offshore Scotian shelf banks, coastal Nova Scotia and Southwestern New Brunswick. Information on catch and landings can be found in the assessment divided into diff",,1,1,ADAPT,no comments,../spreadsheets/PREFONTAINE-HERR4VWX-2006-editedRP.xls,999
DFO-PAC-HERRCC-1951-2007-COLLIE,DFO-PAC,HERRCC,Pacific herring Central Coast,COLLIE,7/30/2008,8/1/2012,1951-2007,received from contact,"Jake Schweigert, Pacific Biological Station",this is a test entry only,RES2007_002_e.pdf,1,0,AD-CAM,The assessment method is called HCAM,../spreadsheets/COLLIE-HERRCC-2007-editedDR-QAQC.xls,
NWWG-HERRIsum-1984-2011-NEUBAUER,NWWG,HERRIsum,Herring Iceland (Summer spawners),NEUBAUER,6/22/2011,9/18/2012,1984-2011,http://www.ices.dk/reports/ACOM/2011/NWWG/Sec%2011%20Icelandic%20summer%20spawning%20herring.pdf,NULL,NULL,,1,1,NFT-ADAPT,"In 2010 and in this years assessment, the retrospective pattern seems to be reoccurring, which de-crease the quality of the assessment. The retrospective pattern is at least partly related to the Ichthyophonus infection and uncertainty in the assessment r",/home/srdbadmin/srdb/spreadsheets/NEUBAUER-HERRsum-2011-DH-edited.xls,999
HAWG-HERRNIRS-1960-2010-NEUBAUER,HAWG,HERRNIRS,Herring Northern Irish Sea,NEUBAUER,6/30/2011,12/12/2012,1960-2010,http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2007%20Herring%20in%20Division%20VIIa%20North%20(Irish%20Sea).pdf,NULL,NULL,,1,1,ICA,Assessment not considered reliable,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-HERRNIRS-2011-DH-edited.xls,999
WGWIDE-HERRNORSS-1988-2014-HIVELY,WGWIDE,HERRNORSS,Norwegian Spring Spawning Herring,HIVELY,5/7/2015,1/1/2002,1988-2014,www.ices.dk,NULL,NULL,01 WGWIDE report 2014.pdf,1,1,VPA,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-HERRNOSS-2014-DH-edited.xls,999
HAWG-HERRNS-1960-2011-NEUBAUER,HAWG,HERRNS,Herring North Sea,NEUBAUER,6/23/2011,12/27/2012,1960-2011,http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2002%20North%20Sea%20Herring.pdf,NULL,NULL,,1,1,ICA,,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-HERRNS-2011-DH-edited.xls,999
NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ,NEFSC,HERRNWATLC,Atlantic herring Northwestern Atlantic Coast,OVERHOLTZ,4/29/2009,8/1/2012,1960-2005,http://www.mar.dfo-mpo.gc.ca/science/TRAC/TSRs%5CTSR_2006_01_E.pdf,,,,1,1,AD-CAM,,../spreadsheets/OVERHOLTZ-ATLHERRING-2008-editedOJ.xls,999
DFO-PAC-HERRPRD-1951-2007-COLLIE,DFO-PAC,HERRPRD,Pacific herring Prince Rupert District,COLLIE,7/30/2008,8/1/2012,1951-2007,received from contact,"Jake Schweigert, Pacific Biological Station",this is a test entry only,RES2007_002_e.pdf,1,0,AD-CAM,The assessment method is called HCAM,../spreadsheets/COLLIE-HERRPRD-2007-editedDR-QAQC.xls,
ADFG-HERRPWS-1980-2006-COLLIE,ADFG,HERRPWS,Pacific herring Prince William Sound,COLLIE,12/8/2008,8/1/2012,1980-2006,received from Contact,"Peter-John Frederick Hulson, p.hulson@uaf.edu",The data are from ADF&G; Pete did the assessment as part of his M.S.,,1,0,AD-CAM,Model/data from Hulson et al 2008,../spreadsheets/COLLIE-HERRPWS-2006-editedOJ.xls,999
DFO-PAC-HERRQCI-1951-2007-COLLIE,DFO-PAC,HERRQCI,Pacific herring Queen Charlotte Islands,COLLIE,7/30/2008,8/1/2012,1951-2007,received from contact,"Jake Schweigert, Pacific Biological Station",this is a test entry only,RES2007_002_e.pdf,1,0,AD-CAM,The assessment method is called HCAM,../spreadsheets/COLLIE-HERRQCI-2007-editedDR-QAQC.xls,
WGBFAS-HERRRIGA-1976-2011-NEUBAUER,WGBFAS,HERRRIGA,Herring ICES 28,NEUBAUER,6/23/2011,12/12/2012,1976-2011,http://www.ices.dk/reports/ACOM/2011/WGBFAS/Sec%2006.4%20Herring%20in%20Subdivision%2030.pdf,NULL,NULL,,1,1,XSA,,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-HERRRIGA-2011-DH-edited.xls,999
HAWG-HERRSIRS-1957-2010-NEUBAUER,HAWG,HERRSIRS,Herring ICES VIIa-g-h-j,NEUBAUER,6/30/2011,9/18/2012,1957-2010,http://www.ices.dk/reports/ACOM/2011/HAWG/Annex%2005%20Stock%20Annex%20Herring%20in%20the%20Celtic%20Sea%20and%20VIIj.pdf,NULL,NULL,,1,1,ICA,,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-HERRSIRS-2011-DH-edited.xls,999
ADFG-HERRSITKA-1978-2007-COLLIE,ADFG,HERRSITKA,Pacific herring Sitka,COLLIE,12/8/2008,8/1/2012,1978-2007,received from Contact,"Peter-John Frederick Hulson, p.hulson@uaf.edu",The data are from ADF&G - Pete did the assessment as part of his M.S.,,1,0,AD-CAM,no comments,../spreadsheets/COLLIE-HERRSIT-2007-editedOJ.xls,999
DFO-PAC-HERRSOG-1951-2007-COLLIE,DFO-PAC,HERRSOG,Pacific herring Straight of Georgia,COLLIE,7/29/2008,8/1/2012,1951-2007,received from contact,"Jake Schweigert, Pacific Biological Station",this is a test entry only,RES2007_002_e.pdf,1,0,AD-CAM,The assessment method is called HCAM,../spreadsheets/COLLIE-HERRSOG-2007-editedDR-QAQC.xls,
ADFG-HERRTOG-1990-2010-HIVELY,ADFG,HERRTOG,Herring Togiak District,HIVELY,8/20/2013,8/23/2013,1990-2010,NULL,NULL,NULL,Togiak herring management report 2010 FMR11-23.pdf,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-HERRTOG-2010-DH-edited.xls,999
HAWG-HERRVIa-1956-2010-NEUBAUER,HAWG,HERRVIa,Herring ICES VIa,NEUBAUER,6/30/2011,12/27/2012,1956-2010,http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2005%20Herring%20in%20Division%20VIa%20(North).pdf,NULL,NULL,,1,1,ICA,,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-HERRVIa-2011-DH-edited.xls,999
HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER,HAWG,HERRVIaVIIbc,Herring ICES VIa-VIIb-VIIc,NEUBAUER,6/30/2011,12/27/2012,1956-2010,"http://www.ices.dk/reports/ACOM/2011/HAWG/Sec%2006%20Herring%20in%20Division%20VIa%20(South)%20and%20VIIb,c.pdf",NULL,NULL,,1,1,VPA,"No final assessment was agreed upon by the working group. Three assessment results were presented and only differ post-2006. Only  F=0.4 estimates are presented here, the report states that: Using the terminal F= 0.4 produces a more stable retrospective p",/home/srdbadmin/srdb/spreadsheets/NEUBAUER-HERRVIaVIIbc-2011-DH-edited.xls,999
DFO-PAC-HERRWCVANI-1951-2007-COLLIE,DFO-PAC,HERRWCVANI,Pacific herring West Coast of Vancouver Island,COLLIE,7/29/2008,8/1/2012,1951-2007,received from contact,"Jake Schweigert, Pacific Biological Station",this is a test entry only,RES2007_002_e.pdf,1,0,AD-CAM,The assessment method is called HCAM,../spreadsheets/COLLIE-HERRWCVI-2007-editedDR-QAQC.xls,
IFOP-HMACKCH-1970-2011-CHING,IFOP,HMACKCH,Horse Mackerel Chile,CHING,3/18/2013,1/1/2002,1970-2011,NULL,NULL,NULL,"__ESTATUS Primer Informe_ Jurel, 2013",1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HMACKCH-2011-DH-edited.xls,999
FAO-SPNWA-HMACKWA-1990-2010-CHING,FAO-SPNWA,HMACKWA,Horse Mackerel West Africa,CHING,10/22/2013,1/1/2002,1990-2010,NULL,NULL,NULL,FAO West African Pelagics North 2011.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HMACKWA-2010-DH-edited.xls,999
NIWA-HOKIENZ-1970-2012-CORDUE,NIWA,HOKIENZ,Hoki Eastern New Zealand,CORDUE,5/18/2012,8/2/2012,1970-2012,http://fs.fish.govt.nz/Page.aspx?pk=61&tk=212,Andy McKenzie <Andy.McKenzie@niwa.co.nz>,,Document not yet avaialble,1,1,CASAL,Eastern and western hoki are assessed together in a two-stock model,/home/srdbadmin/srdb/spreadsheets/CORDUE-HOKIENZ-2012-DH-edited.xls,999
NIWA-HOKIWNZ-1970-2012-CORDUE,NIWA,HOKIWNZ,Hoki Western New Zealand,CORDUE,5/18/2012,8/2/2012,1970-2012,http://fs.fish.govt.nz/Page.aspx?pk=61&tk=212,Andy McKenzie <Andy.McKenzie@niwa.co.nz>,,Document not yet avaialble,1,1,CASAL,Eastern and western hoki are assessed together in a two-stock model,/home/srdbadmin/srdb/spreadsheets/CORDUE-HOKIWNZ-2012-DH-edited.xls,999
NEFSC-ILLEXNWATLC-1967-2005-HENDRICKSON,NEFSC,ILLEXNWATLC,Northern shortfin squid Northwestern Atlantic Coast,HENDRICKSON,4/20/2009,8/1/2012,1967-2005,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,,,1,0,AAPM,"Replacement Yield Model (simple production model), assumed linear increase in catch from 10 to 6000 mt during years 1800 to 1892",../spreadsheets/RAM-HENDRICKSON-ILLEX-2005-editedDR.xls,999
FAJ-JANCHOPJPN-1978-2009-ONO,FAJ,JANCHOPJPN,Japanese anchovy Pacific Coast of Japan,ONO,1/25/2012,12/31/2001,1978-2009,http://abchan.job.affrc.go.jp/digests22/details/2224.pdf,contact details,in japanese,,1,1,VPA,no comments,/home/srdbadmin/srdb/spreadsheets/ONO-JANCHOPJPN-2009-DH-edited.xls,999
FAJ-JANCHOSETO-1955-2010-ONO,FAJ,JANCHOSETO,Japanese anchovy Inland Sea of Japan,ONO,9/17/2012,10/19/2012,1955-2010,NULL,contact details,in japanese,,1,1,VPA,no comments,/home/srdbadmin/srdb/spreadsheets/ONO-JANCHOSETO-2010-DH-edited.xls,999
FAJ-JANCHOTSST-1976-2010-ONO,FAJ,JANCHOTSST,Japanese anchovy Tsushima Strait,ONO,9/17/2012,10/19/2012,1976-2010,NULL,contact details,in japanese,,1,1,VPA,no comments,/home/srdbadmin/srdb/spreadsheets/ONO-JANCHOTSST-2010-DH-edited.xls,999
FAJ-JMACKPJPN-1982-2009-ONO,FAJ,JMACKPJPN,Jack mackerel Pacific Coast of Japan,ONO,1/25/2012,12/31/2001,1982-2009,http://abchan.job.affrc.go.jp/digests22/details/2203.pdf,contact details,in japanese,,1,1,VPA,no comments,/home/srdbadmin/srdb/spreadsheets/ONO-JMACKPJPN-2009-DH-edited.xls,999
FAJ-JMACKTSST-1973-2010-ONO,FAJ,JMACKTSST,Japanese jack mackerel Tsushima Strait,ONO,9/17/2012,10/19/2012,1973-2010,,contact details,in japanese,,1,1,VPA,no comments,/home/srdbadmin/srdb/spreadsheets/ONO-JMACKTSST-2010-DH-edited.xls,999
NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON,NWFSC,KELPGREENLINGORECOAST,Kelp greenling Oregon Coast,STANTON,5/22/2009,8/1/2012,1979-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,Jason Cope copejasonm@gmail.com,Assessment for Oregon  Coast only,,1,1,SS2,no comments,../spreadsheets/STANTON-KelpGreenling-2005-Cope2-editedDR.xls,999
MARAM-KINGKLIPSA-1986-2012-Brandao,MARAM,KINGKLIPSA,Kingklip South Africa,Brandao,1/23/2014,12/31/2001,1986-2012,www.math.uct.ac.za/maram/pub/2013/FISHERIES_2013_SEP_SWG-DEM_51rev.pdf,Anabela Brandao (anabela.brandao@uct.ac.za),NULL,FISHERIES/2013/SEP/SWG-DEM/51(rev).pdf,1,1,RYM,NULL,/home/srdbadmin/srdb/spreadsheets/Brandao-KINGKLIPSA-2014-DH-edited.xls,999
SEFSC-KMACKGM-1929-2012-HIVELY,SEFSC,KMACKGM,King mackerel Gulf of Mexico,HIVELY,12/18/2014,1/1/2002,1929-2012,http://www.sefsc.noaa.gov/sedar/download/SEDAR_38_Gulf_SAR.pdf?id=DOCUMENT,NULL,NULL,KMACKGM-2014,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-KMACKGM-2012-DH-edited.xls,999
SEFSC-KMACKSATLC-1901-2012-HIVELY,SEFSC,KMACKSATLC,King mackerel Southern Atlantic Coast,HIVELY,12/18/2014,1/1/2002,1901-2012,http://www.sefsc.noaa.gov/sedar/download/SEDAR_38_SA_SAR.pdf?id=DOCUMENT,NULL,NULL,KMACKSATLC-2014,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-KMACKSATLC-2012-DH-edited.xls,999
FAO-DRSS-LDENTWASG3-1995-2007-CHING,FAO-DRSS,LDENTWASG3,"Large-eye Dentex West Africa Subgroup 3
",CHING,1/22/2014,1/1/2002,1995-2007,NULL,NULL,NULL,FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-LDENTWASG3-2007-DH-edited.xls,999
NWFSC-LINGCODNPCOAST-1928-2009-STACHURA,NWFSC,LINGCODNPCOAST,Lingcod Northern Pacific Coast,STACHURA,9/26/2011,9/6/2012,1928-2009,http://www.pcouncil.org/wp-content/uploads/Lingcod_Assessment_2009_Final_SAFE_version.pdf,Data obtained from Melissa Haltuch (melissa.haltuch@noaa.gov),"This is for the North stock of lingcod, off of Washington and Oregon",NWFSC-LINGCODNPCOAST-2009.pdf,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/STACHURA-LINGCODNPCOAST-2009-DH-edited.xls,999
NWFSC-LINGCODSPCOAST-1928-2009-STACHURA,NWFSC,LINGCODSPCOAST,Lingcod Southern Pacific Coast,STACHURA,9/26/2011,9/6/2012,1928-2009,http://www.pcouncil.org/wp-content/uploads/Lingcod_Assessment_2009_Final_SAFE_version.pdf,Data obtained from Melissa Haltuch (melissa.haltuch@noaa.gov),"This is for the South stock of lingcod, off of California",NWFSC-LINGCODSPCOAST-2009.pdf,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/STACHURA-LINGCODSPCOAST-2009-DH-edited.xls,999
SEFSC-LISQUIDATLC-1963-2009-HIVELY,SEFSC,LISQUIDATLC,Longfin inshore squid Atlantic Coast,HIVELY,5/6/2014,12/31/2001,1963-2009,http://www.sefsc.noaa.gov/sedar/,NULL,NULL,loligo.pdf,1,1,Survey indices,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-LISQUIDATLC-2009-DH-edited.xls,999
NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH,NWFSC,LNOSESKAPCOAST,Longnose skate Pacific Coast,BRANCH,11/23/2008,8/1/2012,1915-2007,http://www.pcouncil.org/groundfish/gfsafe1008/LongnoseSkate_2007_FINAL.pdf,,,,1,1,SS2,,../spreadsheets/BRANCH-LNOSESKAPCOAST-2007-editedDR-QAQC-summarybiomass.xls,999
ASMFC-LOBSTERGB-1981-2007-STANTON,ASMFC,LOBSTERGB,American lobster Georges Bank,STANTON,8/12/2009,8/1/2012,1981-2007,http://www.asmfc.org/,contact details,,,1,1,CSM,no comments,../spreadsheets/STANTON-LOBSTER5Z-editedDR.xls,999
ASMFC-LOBSTERGOM-1981-2007-STANTON,ASMFC,LOBSTERGOM,American lobster Gulf of Maine,STANTON,8/12/2009,8/1/2012,1981-2007,http://www.asmfc.org/,contact details,,,1,1,CSM,no comments,../spreadsheets/STANTON-LOBSTER5Y-editedDR.xls,999
ASMFC-LOBSTERSNE-1981-2007-STANTON,ASMFC,LOBSTERSNE,American lobster Southern New England,STANTON,8/12/2009,8/1/2012,1981-2007,http://www.asmfc.org/,contact details,,,1,1,CSM,no comments,../spreadsheets/STANTON-LOBSTERSNE-editedDR.xls,999
NEFSC-LSKAT5YCHATT-1968-2006-SOSEBEE,NEFSC,LSKAT5YCHATT,Little skate Gulf of Maine / Cape Hatteras,SOSEBEE,4/21/2009,8/1/2012,1968-2006,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0710/,,,,0,0,Survey indices,,../spreadsheets/SOSBEE-LITTLESKATE-2007-editedDR.xls,999
NWFSC-LSTHORNHPCOAST-1964-2012-HIVELY,NWFSC,LSTHORNHPCOAST,Longspine thornyhead Pacific Coast,HIVELY,12/19/2014,1/1/2002,1964-2012,http://www.pcouncil.org/wp-content/uploads/Longspine_Assessment_2013.pdf,NULL,NULL,LSTHORNHPCOAST-2013,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-LSTHORNHPCOAST-2012-DH-edited.xls,999
WGMHSA-MACKNEICES-1972-2007-JENNINGS,WGMHSA,MACKNEICES,Mackerel ICES Northeast Atlantic,JENNINGS,11/21/2008,8/1/2012,1972-2007,http://www.ices.dk,NULL,NULL,,1,1,ICA,NULL,../spreadsheets/JENNINGS-ICES-MACNEA-1972-2007-editedDR-QAQC.xls,999
WGHMM-MEG8c9a-1985-2010-NEUBAUER,WGHMM,MEG8c9a,Megrim ICES VIIIc-IXa,NEUBAUER,7/4/2011,12/12/2012,1985-2010,http://www.ices.dk/reports/ACOM/2011/WGHMM/Sec%2009%20-%20Megrims%20in%20Divisions%20VIIIc%20and%20IXa.pdf,NULL,NULL,,1,1,XSA,,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-MEG8c9a-2011-DH-edited.xls,999
SEFSC-MENATGM-1948-2011-HIVELY,SEFSC,MENATGM,Gulf menhaden Gulf of Mexico,HIVELY,12/29/2014,1/1/2002,1948-2011,http://www.sefsc.noaa.gov/sedar/download/S32A_GoM_Menhaden_SAR_Final_9.26.2013.pdf?id=DOCUMENT,NULL,NULL,MENATGM-2013,1,1,BAM,No accepted reference points,/home/srdbadmin/srdb/spreadsheets/HIVELY-MENATGM-2013-DH-edited.xls,999
NMFS-MENATLAN-1940-2005-STANTON,NMFS,MENATLAN,Atlantic menhaden Atlantic,STANTON,6/10/2009,8/1/2012,1940-2005,http://www.asmfc.org/speciesDocuments/menhaden/reports/stockAssessments/2006StockAssessmentReport.pdf,contact details,,,1,1,AD-CAM,no comments,../spreadsheets/STANTON-ATLMENHADEN-editedDR-QAQCfinal.xls,999
DFO-NFLD-MONK2J3KLNOPs-1977-2000-PREFONTAINE,DFO-NFLD,MONK2J3KLNOPs,Monkfish Labrador Shelf - Grand Banks - St. Pierre Bank,PREFONTAINE,6/26/2008,8/1/2012,1977-2000,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details,this is a test entry only,,0,0,Unknown,no comments,../spreadsheets/PREFONTAINE-MONK2J3KLNOPs-2001-editedDR-QAQC.xls,999
NEFSC-MONKGOMNGB-1980-2009-HIVELY,NEFSC,MONKGOMNGB,Monkfish Gulf of Maine / Northern Georges Bank,HIVELY,5/22/2014,12/31/2001,1980-2009,http://www.nefsc.noaa.gov/saw/reports.html,NULL,NULL,monkfish.pdf,1,1,AD-CAL,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-MONKGOMNGB-2009-DH-edited.xls,999
NEFSC-MONKSGBMATL-1980-2009-HIVELY,NEFSC,MONKSGBMATL,Monkfish Southern Georges Bank / Mid-Atlantic,HIVELY,5/22/2014,12/31/2001,1980-2009,http://www.nefsc.noaa.gov/saw/reports.html,NULL,NULL,monkfish.pdf,1,1,AD-CAL,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-MONKSGBMATL-2009-DH-edited.xls,999
CSIRO-MORWONGSE-1913-2007-FULTON,CSIRO,MORWONGSE,Jackass morwong Southeast Australia,FULTON,4/30/2008,8/1/2012,1913-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-morwong-australia-2007_v2-editedDR-QAQC.xls,999
DPIF-MULLQNSW-1945-2003-BANOBI,DPIF,MULLQNSW,Sea Mullet Queensland and New South Wales,BANOBI,10/28/2011,9/23/2012,1945-2003,http://www.dpi.qld.gov.au/documents/Fisheries_SustainableFishing/StockAssessment-SeaMullet-2004-complete.pdf,George.Leigh@deedi.qld.gov.au,"Data sent by George Leigh for recruits and harvest rate are for the statistical catch-at-age model. Harvest rate data available only as a figure, so numerical data were obtained using ""Datathief"".",,1,0,unknown,"Specific name of method is not given, but it is an age-structured model with data inputs of annual catch rate, weight-based relative age frequency, and mean weight-at-age of fish.  Two other models were also used, but time series data is based on the stat",/home/srdbadmin/srdb/spreadsheets/BANOBI-MULLQNSW-2004-DH-edited.xls,999
SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN,SEFSC,MUTSNAPSATLCGM,Mutton snapper Southern Atlantic coast and Gulf of Mexico,JENSEN,11/25/2008,8/1/2012,1981-2006,http://www.sefsc.noaa.gov/sedar/download/S15%20SAR%203%20Final.pdf?id=DOCUMENT,,,,1,1,SCA,not in Fogarty files,../spreadsheets/JENSEN-MUTSNAPSATLCGM-2008-editedDR.xls,999
IEO-COB-NEPHMEDGSA5-1986-2011-BANOBI,IEO-COB,NEPHMEDGSA5,Norway Lobster Balearic Island,BANOBI,5/23/2014,1/1/2002,1986-2011,http://151.1.154.86/GfcmWebSite/SAC/SCSA/14/SAFs.html,NULL,NULL,2012_NEP_GSA05_2012_IEO.pdf,1,1,XSA,"in discussing stock status, F0.1 is compared to the average value of F from 2009-2011 rather than to the value of F for 2011 alone.",/home/srdbadmin/srdb/spreadsheets/BANOBI-NEPHMEDGSA5-2011-DH-edited.xls,999
WGNSSK-NPOUTNS-1983-2011-NEUBAUER,WGNSSK,NPOUTNS,Norway pout North Sea,NEUBAUER,6/30/2011,12/20/2012,1983-2011,http://www.ices.dk/reports/ACOM/2011/WGNSSK/Sec%2005%20Norway%20Pout%20in%20Subarea%20IV%20and%20Division%20IIIa.pdf,NULL,NULL,,1,1,SXSA,,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-NPOUTNS-2011-DH-edited.xls,999
AFSC-NROCKBSAI-1974-2011-STACHURA,AFSC,NROCKBSAI,Northern rockfish Bering Sea and Aleutian Islands,STACHURA,5/11/2011,8/20/2012,1974-2011,http://www.afsc.noaa.gov/REFM/docs/2010/BSAInorthern.pdf,"Spencer, PD, paul.spencer@noaa.gov",NULL,,1,1,AD-CAM,no comments,/home/srdbadmin/srdb/spreadsheets/STACHURA-NROCKBSAI-2010-DH-edited.xls,999
AFSC-NROCKGA-1959-2010-STACHURA,AFSC,NROCKGA,Northern rockfish Gulf of Alaska,STACHURA,3/29/2011,8/20/2012,1959-2010,http://www.afsc.noaa.gov/REFM/docs/2010/GOAnorthern.pdf,"Jonathan Heifetz,  jon.heifetz@noaa.gov",NULL,,1,1,AD-CAM,2010 assessment was only an update. full assessment conducted in 2009. filename: AFSC-NROCKGA-2009.pdf,/home/srdbadmin/srdb/spreadsheets/STACHURA-NROCKGA-2010-DH-edited.xls,999
AFSC-NRSOLEEBSAI-1975-2012-HIVELY,AFSC,NRSOLEEBSAI,Northern rock sole Eastern Bering Sea and Aleutian Islands,HIVELY,5/6/2014,12/31/2001,1975-2012,http://www.afsc.noaa.gov/Publications/assessments.htm,NULL,NULL,BSAIrocksole.pdf,1,1,Survey indices,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-NRSOLEEBSAI-2012-DH-edited.xls,999
IFOP-NSHRIMPCH-1949-2012-CHING,IFOP,NSHRIMPCH,Nylon Shrimp Chile,CHING,3/18/2013,1/1/2002,1949-2012,NULL,NULL,NULL,__ESTATUS_2° Inf.Camarón nailon 2013,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-NSHRIMPCH-2012-DH-edited.xls,999
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,New Zealand ling Eastern half of Southeast Australia,FULTON,4/30/2008,8/1/2012,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,999
